,Middlesbrough,Newcastle,Aston Villa,Southampton,Blackburn,West Brom,Bolton,Charlton,Man City,Fulham,Norwich,Crystal Palace,Portsmouth,Birmingham,Tottenham,Liverpool,Chelsea,Man Utd,Everton,Arsenal
2004-09-11,10,5,8,3,2,3,10,6,4,4,2,1,7,4,8,7,13,6,10,15
2004-09-12,10,5,8,3,2,3,10,6,4,4,3,1,7,4,9,7,13,6,10,15
2004-09-13,10,5,8,4,2,3,10,7,4,4,3,1,7,4,9,7,13,6,10,15
2004-09-18,10,5,9,4,5,4,11,8,7,5,4,1,7,5,9,7,13,6,10,16
2004-09-19,10,8,9,4,5,4,11,8,7,5,4,1,7,5,10,7,14,6,13,16
2004-09-20,10,8,9,4,5,4,11,8,7,5,4,1,7,5,10,7,14,9,13,16
2004-09-25,10,11,10,4,5,4,12,8,7,8,4,2,7,6,10,10,17,12,13,19
2004-09-26,10,11,10,4,5,4,12,8,7,8,4,2,7,6,10,10,17,12,16,19
2004-09-27,10,11,10,4,5,4,12,11,7,8,4,2,7,6,10,10,17,12,16,19
2004-10-02,10,11,11,5,6,7,12,11,8,8,5,2,8,6,13,10,17,12,16,22
2004-10-03,11,12,11,5,6,7,12,11,8,8,5,2,8,7,13,10,20,13,16,22
2004-10-04,11,12,11,5,6,7,12,11,8,8,5,5,8,7,13,10,20,13,16,22
2004-10-16,14,12,11,5,6,8,15,11,11,8,6,5,8,8,13,13,20,14,19,25
2004-10-17,14,13,11,5,6,8,15,12,11,8,6,5,8,8,13,13,20,14,19,25
2004-10-18,14,13,11,5,6,8,15,12,11,8,6,5,11,8,13,13,20,14,19,25
2004-10-23,14,13,14,5,6,8,18,12,11,8,6,8,11,8,13,16,23,14,22,25
2004-10-24,15,16,14,6,6,8,18,12,11,8,6,8,12,9,13,16,23,17,22,25
2004-10-30,18,16,15,7,7,8,18,12,11,11,6,11,15,9,13,17,26,17,23,26
2004-10-31,18,16,15,7,7,8,21,12,11,11,6,11,15,9,13,17,26,17,23,26
2004-11-01,18,16,15,7,7,8,21,12,12,11,7,11,15,9,13,17,26,17,23,26
2004-11-06,18,16,18,8,8,9,21,15,12,11,8,12,15,12,13,17,29,17,23,27
2004-11-07,19,16,18,8,8,9,22,15,13,14,8,12,15,12,13,17,29,18,23,27
2004-11-13,19,16,21,11,9,9,22,18,14,14,8,12,15,12,13,20,32,18,26,30
2004-11-14,22,16,21,11,9,9,22,18,14,14,8,12,15,12,13,20,32,21,26,30
2004-11-20,25,19,21,11,9,10,23,18,17,14,11,12,15,12,13,20,33,24,29,31
2004-11-21,25,19,21,11,10,10,23,18,17,14,11,12,15,13,13,20,33,24,29,31
2004-11-22,25,19,24,11,10,10,23,18,17,14,11,12,15,13,13,20,33,24,29,31
2004-11-27,25,19,24,12,13,10,23,18,20,14,12,13,18,14,13,20,36,27,29,31
2004-11-28,25,20,24,12,13,10,23,18,20,14,12,13,18,14,16,23,36,27,30,31
2004-12-04,25,20,25,12,13,10,23,18,20,17,12,13,21,14,19,24,39,30,33,34
2004-12-05,25,20,25,12,13,10,23,21,20,17,12,13,21,14,19,24,39,30,33,34
2004-12-06,28,20,25,12,13,10,23,21,20,17,12,13,21,14,19,24,39,30,33,34
2004-12-11,29,21,25,13,14,10,23,24,20,17,15,14,22,14,22,24,39,30,36,34
2004-12-12,29,21,25,13,14,10,23,24,20,17,15,14,22,17,22,24,40,30,36,35
2004-12-13,29,21,25,13,14,10,23,24,20,18,15,14,22,17,22,24,40,31,36,35
2004-12-14,29,21,25,13,14,10,23,24,20,18,15,14,23,17,22,25,40,31,36,35
2004-12-18,32,21,25,13,15,10,23,24,23,18,15,14,23,20,25,25,43,34,37,35
2004-12-19,32,21,25,13,15,10,23,24,23,18,15,14,23,20,25,28,43,34,37,38
2004-12-20,32,21,25,13,15,10,23,27,23,18,15,14,23,20,25,28,43,34,37,38
2004-12-26,32,22,25,14,16,10,23,28,23,18,15,14,26,23,28,31,46,37,40,41
2004-12-28,35,22,25,14,19,11,23,31,24,18,15,15,26,26,29,34,49,40,40,41
2004-12-29,35,22,25,14,19,11,23,31,24,18,15,15,26,26,29,34,49,40,40,44
2005-01-01,35,25,28,14,19,12,24,31,27,21,16,15,27,26,32,34,52,43,40,47
2005-01-03,35,26,28,14,22,13,24,31,27,21,16,18,27,26,32,37,52,43,40,47
2005-01-04,35,26,28,14,22,13,27,31,28,21,16,18,27,26,33,37,55,44,43,48
2005-01-05,35,26,28,15,22,13,27,31,28,22,16,18,27,26,33,37,55,44,43,48
2005-01-15,35,29,31,15,25,13,30,34,31,22,16,18,27,26,33,37,58,47,43,48
2005-01-16,36,29,31,15,25,13,30,34,31,25,16,18,27,26,33,37,58,47,44,48
2005-01-22,37,29,31,18,25,16,30,37,31,28,17,21,27,26,33,37,61,50,44,48
2005-01-23,37,29,31,18,25,16,30,37,31,28,17,21,27,26,33,37,61,50,44,51
2005-01-24,37,29,31,18,25,16,33,37,31,28,17,21,27,26,33,37,61,50,44,51
2005-02-01,37,29,31,18,25,17,36,37,31,28,17,22,30,26,33,40,61,53,44,51
2005-02-02,37,30,32,18,25,17,36,37,32,29,17,22,30,29,33,40,64,53,47,51
2005-02-05,40,31,32,18,25,17,39,38,32,29,20,22,30,29,36,43,64,56,47,54
2005-02-06,40,31,32,19,25,17,39,38,33,29,20,22,30,29,36,43,65,56,48,54
2005-02-12,41,31,35,19,28,17,40,38,33,29,20,22,30,32,36,43,68,56,48,54
2005-02-13,41,31,35,19,28,17,40,38,33,29,20,22,30,32,36,43,68,59,48,54
2005-02-14,41,31,35,19,28,17,40,38,33,29,20,22,30,32,36,43,68,59,48,57
2005-02-22,41,31,35,20,28,18,40,38,33,29,20,22,30,32,36,43,68,59,48,57
2005-02-26,41,31,35,21,28,18,40,38,33,29,20,25,30,32,39,43,68,62,51,58
2005-02-27,42,34,35,21,28,18,40,39,33,29,20,25,30,32,39,43,68,62,51,58
2005-02-28,42,34,35,21,28,18,40,39,36,29,20,25,30,32,39,43,68,62,51,58
2005-03-05,42,37,38,24,28,18,40,40,36,30,20,26,30,32,39,43,71,63,51,61
2005-03-06,42,37,38,24,31,21,40,40,36,30,20,26,30,32,39,43,71,63,51,61
2005-03-07,42,37,38,24,31,21,43,40,36,30,20,26,30,32,39,43,71,63,51,61
2005-03-15,42,37,38,24,31,21,43,40,36,30,20,26,30,32,39,43,74,63,51,61
2005-03-16,42,37,38,24,32,21,43,43,36,30,20,26,30,32,39,44,74,63,51,61
2005-03-19,42,38,38,24,32,24,46,43,36,30,20,26,31,32,42,44,77,66,51,64
2005-03-20,42,38,38,27,32,24,46,43,36,30,20,26,31,35,42,47,77,66,51,64
2005-04-02,45,38,41,27,33,24,46,44,37,30,20,26,31,36,43,50,80,67,51,67
2005-04-03,45,38,41,27,33,27,46,44,37,33,20,26,31,36,43,50,80,67,51,67
2005-04-09,45,38,41,27,36,27,49,44,40,33,23,26,34,37,43,50,81,67,51,70
2005-04-10,45,38,42,27,36,28,49,44,40,33,23,26,34,37,46,50,81,67,54,70
2005-04-16,45,38,45,27,36,28,52,44,41,34,24,27,35,38,47,51,81,67,54,70
2005-04-19,46,38,45,28,36,28,53,44,41,35,24,27,35,38,47,51,81,67,54,70
2005-04-20,46,38,46,28,39,29,53,45,44,35,27,27,35,38,48,54,82,67,57,71
2005-04-23,49,38,47,28,40,29,54,45,45,35,30,30,35,39,48,54,85,67,58,71
2005-04-24,49,38,47,28,40,29,54,45,45,35,30,30,38,39,48,54,85,70,58,71
2005-04-25,49,38,47,28,40,29,54,45,45,35,30,30,38,39,48,54,85,70,58,74
2005-04-26,49,38,47,28,41,30,54,45,45,35,30,30,38,39,48,54,85,70,58,74
2005-04-27,50,39,47,28,41,30,54,45,45,35,30,30,38,39,48,54,85,70,58,74
2005-04-30,51,40,47,31,41,30,54,45,48,38,30,31,38,42,48,55,88,70,58,74
2005-05-01,51,40,47,31,41,30,54,45,48,38,30,31,38,42,51,55,88,73,58,74
2005-05-02,51,40,47,31,41,30,54,45,48,38,30,31,38,42,51,55,88,73,58,77
2005-05-04,51,43,47,31,41,30,54,45,48,38,30,31,38,42,51,55,88,73,58,77
2005-05-07,54,43,47,32,41,31,55,45,51,41,33,32,39,42,51,55,91,74,61,77
2005-05-08,54,43,47,32,41,31,55,45,51,41,33,32,39,42,51,55,91,74,61,80
2005-05-10,54,43,47,32,41,31,55,45,51,41,33,32,39,42,51,55,94,74,61,80
2005-05-11,54,43,47,32,41,31,55,45,51,41,33,32,39,42,51,55,94,74,61,83
2005-05-15,55,44,47,32,42,34,58,46,52,44,33,33,39,45,52,58,95,77,61,83
