Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,9 wickets,Manchester,6/7/1975,ODI # 22,22,England,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,52 runs,The Oval,6/11/1975,ODI # 25,25,England,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,192 runs,Nottingham,6/14/1975,ODI # 30,30,England,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,9 wickets,Nottingham,6/9/1979,ODI # 62,62,England,Sri Lanka
India,Sri Lanka,Sri Lanka,India,47 runs,Manchester,6/16/1979,ODI # 68,68,England,Sri Lanka
Sri Lanka,England,England,Sri Lanka,5 runs,Colombo (SSC),2/13/1982,ODI # 145,145,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,3 runs,Colombo (SSC),2/14/1982,ODI # 146,146,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Karachi,3/12/1982,ODI # 149,149,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,30 runs,Lahore,3/29/1982,ODI # 150,150,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Karachi,3/31/1982,ODI # 151,151,Pakistan,Sri Lanka
India,Sri Lanka,India,Sri Lanka,78 runs,Amritsar,9/12/1982,ODI # 156,156,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Delhi,9/15/1982,ODI # 157,157,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Bengaluru,9/26/1982,ODI # 159,159,India,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,65 runs,Dunedin,3/2/1983,ODI # 186,186,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Napier,3/19/1983,ODI # 189,189,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,116 runs,Auckland,3/20/1983,ODI # 190,190,New Zealand,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,2 wickets,Colombo (PSS),4/13/1983,ODI # 193,193,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,4 wickets,Colombo (PSS),4/16/1983,ODI # 194,194,Sri Lanka,Sri Lanka
Sri Lanka,Australia,no result,Sri Lanka,,Colombo (SSC),4/29/1983,ODI # 195,195,Sri Lanka,Sri Lanka
Sri Lanka,Australia,no result,Sri Lanka,,Colombo (SSC),4/30/1983,ODI # 196,196,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,50 runs,Swansea,6/9/1983,ODI # 198,198,Wales,Sri Lanka
England,Sri Lanka,England,Sri Lanka,47 runs,Taunton,6/11/1983,ODI # 201,201,England,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Bristol,6/13/1983,ODI # 206,206,England,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,11 runs,Leeds,6/16/1983,ODI # 211,211,England,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,3 wickets,Derby,6/18/1983,ODI # 214,214,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,9 wickets,Leeds,6/20/1983,ODI # 217,217,England,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,104 runs,Colombo (SSC),3/3/1984,ODI # 253,253,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,41 runs,Moratuwa,3/31/1984,ODI # 257,257,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,86 runs,Colombo (PSS),4/1/1984,ODI # 258,258,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Sharjah,4/6/1984,ODI # 259,259,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,10 wickets,Sharjah,4/8/1984,ODI # 260,260,United Arab Emirates,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,4 wickets,Colombo (PSS),11/3/1984,ODI # 274,274,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,7 wickets,Moratuwa,11/4/1984,ODI # 275,275,Sri Lanka,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,6 wickets,Sydney,1/8/1985,ODI # 283,283,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Hobart,1/10/1985,ODI # 284,284,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,90 runs,Brisbane,1/12/1985,ODI # 286,286,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,65 runs,Sydney,1/17/1985,ODI # 290,290,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,4 wickets,Melbourne,1/19/1985,ODI # 291,291,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,3 wickets,Sydney,1/23/1985,ODI # 294,294,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Adelaide,1/26/1985,ODI # 296,296,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,232 runs,Adelaide,1/28/1985,ODI # 299,299,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,82 runs,Perth,2/2/1985,ODI # 300,300,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,9 wickets,Perth,2/3/1985,ODI # 301,301,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,51 runs,Melbourne,2/23/1985,ODI # 310,310,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Melbourne,2/27/1985,ODI # 313,313,Australia,Sri Lanka
Sri Lanka,India,India,Sri Lanka,2 wickets,Colombo (SSC),8/25/1985,ODI # 332,332,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,14 runs,Colombo (PSS),9/21/1985,ODI # 333,333,Sri Lanka,Sri Lanka
Sri Lanka,India,no result,Sri Lanka,,Colombo (PSS),9/22/1985,ODI # 334,334,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Peshawar,10/13/1985,ODI # 335,335,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,15 runs,Gujranwala,10/23/1985,ODI # 336,336,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Lahore,10/25/1985,ODI # 337,337,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,89 runs,Hyderabad (Sind),11/3/1985,ODI # 338,338,India,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,8 wickets,Kandy,3/2/1986,ODI # 365,365,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,no result,Sri Lanka,,Moratuwa,3/8/1986,ODI # 367,367,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,8 wickets,Colombo (SSC),3/11/1986,ODI # 368,368,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,81 runs,Colombo (PSS),3/30/1986,ODI # 374,374,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,7 wickets,Kandy,4/2/1986,ODI # 377,377,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,6 wickets,Colombo (RPS),4/5/1986,ODI # 378,378,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,5 wickets,Colombo (SSC),4/6/1986,ODI # 379,379,Sri Lanka,Sri Lanka
India,Sri Lanka,India,Sri Lanka,3 wickets,Sharjah,4/13/1986,ODI # 383,383,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Sharjah,11/27/1986,ODI # 401,401,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,4 wickets,Sharjah,12/2/1986,ODI # 404,404,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,193 runs,Sharjah,12/3/1986,ODI # 405,405,United Arab Emirates,Sri Lanka
India,Sri Lanka,Sri Lanka,India,117 runs,Kanpur,12/24/1986,ODI # 407,407,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Guwahati,1/11/1987,ODI # 415,415,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Delhi,1/13/1987,ODI # 416,416,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,94 runs,Vadodara,1/15/1987,ODI # 417,417,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,10 runs,Wankhede,1/17/1987,ODI # 419,419,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,15 runs,Hyderabad (Sind),10/8/1987,ODI # 451,451,India,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,191 runs,Karachi,10/13/1987,ODI # 457,457,Pakistan,Sri Lanka
England,Sri Lanka,England,Sri Lanka,108 runs,Peshawar,10/17/1987,ODI # 460,460,Pakistan,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,25 runs,Kanpur,10/21/1987,ODI # 464,464,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,113 runs,Faisalabad,10/25/1987,ODI # 467,467,Pakistan,Sri Lanka
England,Sri Lanka,England,Sri Lanka,8 wickets,Pune,10/30/1987,ODI # 472,472,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,81 runs,Perth,1/2/1988,ODI # 484,484,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Sydney,1/5/1988,ODI # 486,486,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Adelaide,1/9/1988,ODI # 490,490,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,81 runs,Adelaide,1/10/1988,ODI # 491,491,Australia,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,4 wickets,Hobart,1/12/1988,ODI # 492,492,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,38 runs,Melbourne,1/14/1988,ODI # 493,493,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Brisbane,1/16/1988,ODI # 494,494,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,3 wickets,Sydney,1/19/1988,ODI # 496,496,Australia,Sri Lanka
India,Sri Lanka,India,Sri Lanka,18 runs,Sharjah,3/25/1988,ODI # 512,512,United Arab Emirates,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,99 runs,Sharjah,3/29/1988,ODI # 514,514,United Arab Emirates,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,43 runs,Sharjah,3/31/1988,ODI # 516,516,United Arab Emirates,Sri Lanka
England,Sri Lanka,England,Sri Lanka,5 wickets,The Oval,9/4/1988,ODI # 521,521,England,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Dhaka,10/27/1988,ODI # 528,528,Bangladesh,Sri Lanka
India,Sri Lanka,Sri Lanka,India,17 runs,Dhaka,10/29/1988,ODI # 530,530,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,9 wickets,Dhaka,11/2/1988,ODI # 533,533,Bangladesh,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Dhaka,11/4/1988,ODI # 534,534,Bangladesh,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,30 runs,Sharjah,3/23/1989,ODI # 564,564,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Sharjah,3/24/1989,ODI # 565,565,United Arab Emirates,Sri Lanka
England,Sri Lanka,England,Sri Lanka,5 wickets,Delhi,10/15/1989,ODI # 571,571,India,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,4 wickets,Rajkot,10/19/1989,ODI # 576,576,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 runs,Ahmedabad,10/22/1989,ODI # 580,580,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,28 runs,Margao,10/25/1989,ODI # 585,585,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,6 runs,Lucknow,10/27/1989,ODI # 588,588,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,30 runs,Melbourne,12/26/1989,ODI # 596,596,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,9 wickets,Perth,12/30/1989,ODI # 597,597,Australia,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,3 wickets,Perth,12/31/1989,ODI # 598,598,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,73 runs,Melbourne,1/4/1990,ODI # 600,600,Australia,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Brisbane,2/10/1990,ODI # 601,601,Australia,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Hobart,2/15/1990,ODI # 605,605,Australia,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,27 runs,Adelaide,2/17/1990,ODI # 606,606,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,7 wickets,Adelaide,2/18/1990,ODI # 608,608,Australia,Sri Lanka
India,Sri Lanka,Sri Lanka,India,3 wickets,Sharjah,4/25/1990,ODI # 623,623,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,90 runs,Sharjah,4/29/1990,ODI # 627,627,United Arab Emirates,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,114 runs,Sharjah,5/2/1990,ODI # 630,630,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,19 runs,Nagpur,12/1/1990,ODI # 644,644,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Pune,12/5/1990,ODI # 646,646,India,Sri Lanka
India,Sri Lanka,Sri Lanka,India,7 wickets,Margao,12/8/1990,ODI # 648,648,India,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,6 wickets,Sharjah,12/20/1990,ODI # 655,655,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,50 runs,Sharjah,12/21/1990,ODI # 656,656,United Arab Emirates,Sri Lanka
India,Sri Lanka,Sri Lanka,India,36 runs,Cuttack,12/28/1990,ODI # 658,658,India,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,71 runs,Eden Gardens,12/31/1990,ODI # 659,659,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Eden Gardens,1/4/1991,ODI # 661,661,India,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Napier,1/26/1991,ODI # 665,665,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,41 runs,Auckland,1/28/1991,ODI # 666,666,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,107 runs,Dunedin,2/6/1991,ODI # 667,667,New Zealand,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Sargodha,1/10/1992,ODI # 700,700,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,29 runs,Karachi,1/13/1992,ODI # 704,704,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,59 runs,Hyderabad (Sind),1/15/1992,ODI # 706,706,India,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,4 wickets,Multan,1/17/1992,ODI # 708,708,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,117 runs,Rawalpindi,1/19/1992,ODI # 710,710,Pakistan,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,3 wickets,New Plymouth,2/23/1992,ODI # 716,716,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Hamilton,2/25/1992,ODI # 718,718,New Zealand,Sri Lanka
India,Sri Lanka,no result,India,,Mackay,2/28/1992,ODI # 722,722,Australia,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,South Africa,3 wickets,Wellington,3/2/1992,ODI # 727,727,New Zealand,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,7 wickets,Adelaide,3/7/1992,ODI # 733,733,Australia,Sri Lanka
England,Sri Lanka,England,Sri Lanka,106 runs,Ballarat,3/9/1992,ODI # 736,736,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,91 runs,Berri,3/13/1992,ODI # 742,742,Australia,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,4 wickets,Perth,3/15/1992,ODI # 746,746,Australia,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,4 wickets,Colombo (PSS),8/15/1992,ODI # 758,758,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,5 wickets,Colombo (RPS),9/4/1992,ODI # 762,762,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,5 wickets,Colombo (RPS),9/5/1992,ODI # 763,763,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,no result,Sri Lanka,,Colombo (RPS),12/4/1992,ODI # 768,768,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,8 wickets,Colombo (PSS),12/12/1992,ODI # 776,776,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,31 runs,Colombo (RPS),12/13/1992,ODI # 778,778,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Sharjah,2/2/1993,ODI # 797,797,United Arab Emirates,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,30 runs,Sharjah,2/3/1993,ODI # 798,798,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,114 runs,Sharjah,2/4/1993,ODI # 799,799,United Arab Emirates,Sri Lanka
Sri Lanka,England,Sri Lanka,England,32 runs,Colombo (RPS),3/10/1993,ODI # 815,815,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,8 wickets,Moratuwa,3/20/1993,ODI # 818,818,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,1 run,Colombo (RPS),7/25/1993,ODI # 833,833,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,8 runs,Colombo (RPS),8/12/1993,ODI # 834,834,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,4 wickets,Moratuwa,8/14/1993,ODI # 835,835,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,no result,Sri Lanka,,Kandy,8/22/1993,ODI # 836,836,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,124 runs,Colombo (RPS),9/2/1993,ODI # 837,837,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,44 runs,Colombo (RPS),9/4/1993,ODI # 838,838,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Sharjah,10/28/1993,ODI # 839,839,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,114 runs,Sharjah,10/30/1993,ODI # 841,841,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Sharjah,11/2/1993,ODI # 843,843,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Sharjah,11/3/1993,ODI # 844,844,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Kanpur,11/7/1993,ODI # 846,846,India,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,46 runs,Wankhede,11/9/1993,ODI # 847,847,India,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,55 runs,Patna,11/15/1993,ODI # 850,850,India,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,78 runs,Guwahati,11/19/1993,ODI # 853,853,India,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,7 wickets,Eden Gardens,11/25/1993,ODI # 857,857,India,Sri Lanka
Sri Lanka,West Indies,no result,Sri Lanka,,Colombo (PSS),12/1/1993,ODI # 859,859,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,3 wickets,Colombo (RPS),12/16/1993,ODI # 864,864,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,6 wickets,Colombo (SSC),12/18/1993,ODI # 866,866,Sri Lanka,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 runs,Rajkot,2/15/1994,ODI # 879,879,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Hyderabad (Deccan),2/18/1994,ODI # 881,881,India,Sri Lanka
India,Sri Lanka,Sri Lanka,India,4 wickets,Jalandhar,2/20/1994,ODI # 883,883,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,9 wickets,Sharjah,4/14/1994,ODI # 905,905,United Arab Emirates,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,2 runs,Sharjah,4/18/1994,ODI # 909,909,United Arab Emirates,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,9 wickets,Colombo (RPS),8/3/1994,ODI # 914,914,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,7 wickets,Colombo (RPS),8/6/1994,ODI # 915,915,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,19 runs,Colombo (SSC),8/7/1994,ODI # 916,916,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,5 wickets,Colombo (SSC),8/22/1994,ODI # 917,917,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,27 runs,Colombo (RPS),8/24/1994,ODI # 918,918,Sri Lanka,Sri Lanka
Sri Lanka,India,no result,Sri Lanka,,Colombo (RPS),9/4/1994,ODI # 921,921,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,7 wickets,Colombo (RPS),9/5/1994,ODI # 922,922,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,7 wickets,Colombo (SSC),9/11/1994,ODI # 925,925,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,6 wickets,Colombo (PSS),9/13/1994,ODI # 926,926,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,6 wickets,Colombo (SSC),9/17/1994,ODI # 927,927,Sri Lanka,Sri Lanka
Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,56 runs,Harare,11/3/1994,ODI # 945,945,Zimbabwe,Sri Lanka
Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,2 runs,Harare,11/5/1994,ODI # 946,946,Zimbabwe,Sri Lanka
Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,191 runs,Harare,11/6/1994,ODI # 948,948,Zimbabwe,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Durban,12/2/1994,ODI # 953,953,South Africa,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,12 runs,Centurion,12/4/1994,ODI # 954,954,South Africa,Sri Lanka
New Zealand,Sri Lanka,no result,New Zealand,,Bloemfontein,12/8/1994,ODI # 958,958,South Africa,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,South Africa,35 runs,Bloemfontein,12/15/1994,ODI # 963,963,South Africa,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,5 wickets,East London,12/18/1994,ODI # 965,965,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,44 runs,Gqeberha,12/21/1994,ODI # 967,967,South Africa,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,33 runs,Christchurch,3/26/1995,ODI # 990,990,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,57 runs,Hamilton,3/29/1995,ODI # 991,991,New Zealand,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,51 runs,Auckland,4/1/1995,ODI # 992,992,New Zealand,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,107 runs,Sharjah,4/6/1995,ODI # 994,994,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Sharjah,4/9/1995,ODI # 997,997,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Sharjah,4/11/1995,ODI # 998,998,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Sharjah,4/14/1995,ODI # 999,999,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,9 wickets,Gujranwala,9/29/1995,ODI # 1003,1003,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,49 runs,Faisalabad,10/1/1995,ODI # 1004,1004,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,4 wickets,Rawalpindi,10/3/1995,ODI # 1005,1005,Pakistan,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,6 runs,Sharjah,10/11/1995,ODI # 1006,1006,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,82 runs,Sharjah,10/12/1995,ODI # 1007,1007,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,4 runs,Sharjah,10/16/1995,ODI # 1010,1010,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,8 wickets,Sharjah,10/17/1995,ODI # 1011,1011,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,50 runs,Sharjah,10/20/1995,ODI # 1012,1012,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,4 wickets,Adelaide,12/15/1995,ODI # 1021,1021,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,5 wickets,Sydney,12/21/1995,ODI # 1026,1026,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,70 runs,Hobart,1/3/1996,ODI # 1029,1029,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,7 wickets,Brisbane,1/5/1996,ODI # 1030,1030,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,3 wickets,Melbourne,1/9/1996,ODI # 1032,1032,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,83 runs,Perth,1/12/1996,ODI # 1035,1035,Australia,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,16 runs,Perth,1/14/1996,ODI # 1037,1037,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,3 wickets,Melbourne,1/16/1996,ODI # 1039,1039,Australia,Sri Lanka
